Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,Description,Value,Pkg Code,VID,Vendor Part Num,Price @ 500,Height,Link,XREF
1,"LION_BATTERY",OFF_BOARD,EMPTY,585460_2000mAh,UnionFortune,Battery – Lion,2000mAh,*,*,*,11.16,*,http://www.jayconsystems.com/3-7-volt-rechargeable-lithium-battery-2000-mah.html,REF22
1,"3_3V_FAN_COPOL",OFF_BOARD,EMPTY,F16FB-05LLC/E,Copol,Fan Copol,*,*,*,563-1106-ND,6.46552,*,http://www.digikey.com/product-detail/en/F16EA-03LLC%20%2FE/563-1106-ND/1165500,REF12
1,"DUST_SENSOR",OFF_BOARD,EMPTY,PPD60PV-T2,SHINYEI,Sensor Dust ,*,*,*,*,25,*,n/a,REF11
1,"U_ONOFF",PUSHBUTTON,PUSHBUTTON,LC2259EENP,E-Switch,Power Button,*,*,*,*,0.535,*,http://www.futureelectronics.com/en/Technologies/Product.aspx?ProductID=LC2259EENPESWITCH6265227&IM=0,REF21
1,"U_TEMP-HUM",RHT03,RHT03,RHT03,Maxdetect,Sensor Temp-Humidity ,*,*,*,*,6.55,*,http://www.ebay.com/itm/NEW-DHT22-AM2302-Digital-Temperature-Humidity-Sensor-Replace-SHT11-SHT15-Logger-/271175728425?pt=LH_DefaultDomain_0&hash=item3f23553d29,REF10
1,"U$2",SUR_2PIN,JST-0.8MM,SM02B-SURS-TF,SUR,Connector Fan,2 pin,*,*,455-2039-1-ND,0.4066,*,http://www.digikey.com/product-detail/en/SM02B-SURS-TF(LF)(SN)%3B/455-2039-1-ND/1634927,REF14
1,"RESET_SWITCH",SWITCH,SWITCH_TACTILE,TL3315NF250Q,E-Switch,Switch,*,*,*,EG4622CT-ND,0.14674,*,http://www.digikey.com/product-detail/en/TL3315NF250Q/EG4622CT-ND/1870402,REF2
1,"CON_USB",USB-FCI,USB-FCI,10103594-0001LF,FCI,Connector USB Micro,*,*,*,609-4050-1-ND,0.45232,*,http://www.digikey.com/product-detail/en/10103594-0001LF/609-4050-1-ND/2350357,REF19
1,"U_ILIM",USB-OVERCURRENT,MSOP-8,AP2161DM8G-13,Diodes Incorporated,USB Overcurrent protection,*,8-TSSOP, 8-MSOP,*,AP2161DM8G-13DICT-ND,0.2413,*,http://www.digikey.com/product-detail/en/AP2161DM8G-13/AP2161DM8G-13DICT-ND/3720121,REF20
1,"VDETECT",VDETEC_APX,SOT23,APX809-31SAG-7,Diodes Incorporated,Low Voltage Detect,3.08V,*,*,APX809-31SAGDICT-ND,0.1482,*,http://www.digikey.com/product-detail/en/APX809-31SAG-7/APX809-31SAGDICT-ND/1844722,REF29
2,"U_VR3, U_VR5",VREG-RTEC6150,WFDFN-10,RT6150BGQW,Richtek USA,Voltage Reg Buck-Boost,*,*,*,1028-1260-1-ND,0.57076,*,http://www.digikey.com/product-detail/en/RT6150BGQW/1028-1260-1-ND/4733184,REF24
1,"U_VRUSB",VREG_MC34673,UFDFN-8,MC34673AEPR2,Freescale Semiconductor,Voltage Reg USB,*,*,*,MC34673AEPR2CT-ND,0.7,*,http://www.digikey.com/product-detail/en/MC34673AEPR2/MC34673AEPR2CT-ND/1867915,REF25
2,"U_BT_RX, U_BT_TX",V_BUFFER,SOT23-5,SN74LVC1G125DBVR,Texas Instruments,Voltage Buffer,<5,SOT23-5,*,296-11603-1-ND,0.1482,*,http://www.digikey.com/product-detail/en/SN74LVC1G125DBVR/296-11603-1-ND/385742,REF8
